Local Authority,Number of Pubs
Camden,306
Hackney,327
Hammersmith,149
Islington,370
Kensington and Chelsea,110
Lambeth,169
Lewisham,81
Southwark,213
Tower Hamlets,1
Wandsworth,180
Westminster,399
Barking,72
Barnet,195
Bexley,195
Croydon,251
Ealing,234
Enfield,199
Haringey,100
Harrow,148
Havering,98
Hillingdon,162
Hounslow,158
Kingston upon Thames,133
Merton,81
Newham,47
Redbridge,90
Richmond upon Thames,156
Sutton,72
Waltham Forest,91
Greenwhich,0
Brent,359
Bromley,254
City of London,246
