fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
92444,Gallery Coffee Shop,"University Of London Union, Malet Street, London",WC1E 7HY,529752,182075,51.522696,-0.13116,Camden
92455,George Birkbeck Bar,"University Of London Birkbeck College, Malet Street",WC1E 7HX,529986,181893,51.521007,-0.127856,Camden
92458,George IV,"76      Willes Road, London, Greater London",NW5 3DL,528723,184909,51.548399,-0.144949,Camden
92475,Globe Lawn Tennis Club Bar,"190a      Haverstock Hill, London, Greater London",NW3 2AL,527398,185077,51.5502,-0.163986,Camden
92492,Grafton Arms,"72      Grafton Way, London",W1T 5DU,529222,182130,51.523312,-0.138775,Camden
92547,Hampstead Cricket Club,"Hampstead Cricket Club, Lymington Road, London",NW6 1HZ,525691,184932,51.54928,-0.188644,Camden
92567,Hare & Tortoise,"11-13      Brunswick Centre, London",WC1N 1AF,530246,182328,51.524856,-0.12395,Camden
92575,Hat & Tun,"3      Hatton Wall, London",EC1N 8HX,531337,182002,51.521674,-0.108355,Camden
92586,Hercules Pillar,"18      Great Queen Street, London",WC2B 5DG,530502,181365,51.516143,-0.120633,Camden
92633,Hudsons House,"St Giles Hotel, Bedford Avenue",WC1B 3AS,529846,181584,51.518261,-0.129986,Camden
92692,Jack Horner,"235-236      Tottenham Court Road, London",W1T 7QN,529696,181638,51.518782,-0.132142,Camden
92697,Jacques Wine Bar,"Tavistock Hotel, 46-55      Tavistock Square, London",WC1H 9EU,529944,182253,51.524251,-0.128329,Camden
92708,JD Wetherspoon Gatehouse,"The Gate House, Highgate West Hill",N6 6DB,528260,187446,51.571304,-0.150712,Camden
92711,Jeremy Bentham,"31      University Street, London",WC1E 6JL,529447,182169,51.523611,-0.135534,Camden
92719,Joe's,"78-79      Chalk Farm Road, London, Greater London",NW1 8AR,528261,184385,51.543804,-0.151812,Camden
92729,Junction Tavern,"101      Fortess Road, London",NW5 1AG,529027,185621,51.55472,-0.140306,Camden
92754,Kilburn Ironworks,332 Kilburn High Road,NW6 2QN,524808,184457,51.545207,-0.20154,Camden
92759,King William IV,"77      Hampstead High Street, London",NW3 1RE,526532,185642,51.555482,-0.176266,Camden
92778,Knights Templar,"95      Chancery Lane, London",WC2A 1DT,531102,181296,51.515375,-0.112003,Camden
92780,Koko,"1a      Camden High Street, London",NW1 0JH,529173,183470,51.535365,-0.13899,Camden
92784,Kopapa,"32-34      Monmouth Street, London, Greater London",WC2H 9HB,530054,181155,51.514359,-0.127163,Camden
92866,Lillie Langtry,"121      Abbey Road, London",NW6 4SL,525712,183939,51.54036,-0.188696,Camden
92881,Lockside Lounge,"75-89  West Yard, Camden Lock Place, London",NW1 8AF,528630,184085,51.541016,-0.146604,Camden
92900,London Pub,"Royal National Hotel, Bedford Way, London",WC1H 0JX,530025,182145,51.523262,-0.127202,Camden
92904,Lord John Russell P.H.,"91-93      Marchmont Street, London",WC1N 1AL,530112,182432,51.525821,-0.125842,Camden
92909,Lucas Arms,"245A      Gray's Inn Road, London",WC1X 8QY,530532,182741,51.528501,-0.119677,Camden
